,date,payems
0,2029-07-01,31294
1,2030-07-01,29577
2,2031-07-01,27027
3,2032-07-01,24216
4,2033-07-01,24132
5,2034-07-01,26084
6,2035-07-01,27061
7,2036-07-01,28963
8,2037-07-01,30705
9,2038-07-01,29064
10,2039-01-01,29923
11,2039-02-01,30101
12,2039-03-01,30280
13,2039-04-01,30094
14,2039-05-01,30300
15,2039-06-01,30502
16,2039-07-01,30419
17,2039-08-01,30663
18,2039-09-01,31032
19,2039-10-01,31408
20,2039-11-01,31469
21,2039-12-01,31539
22,2040-01-01,31603
23,2040-02-01,31715
24,2040-03-01,31826
25,2040-04-01,31700
26,2040-05-01,31880
27,2040-06-01,31978
28,2040-07-01,31942
29,2040-08-01,32352
30,2040-09-01,32810
31,2040-10-01,33265
32,2040-11-01,33668
33,2040-12-01,34172
34,2041-01-01,34480
35,2041-02-01,34844
36,2041-03-01,35094
37,2041-04-01,35469
38,2041-05-01,36182
39,2041-06-01,36651
40,2041-07-01,37137
41,2041-08-01,37544
42,2041-09-01,37835
43,2041-10-01,37948
44,2041-11-01,38024
45,2041-12-01,38104
46,2042-01-01,38347
47,2042-02-01,38513
48,2042-03-01,38936
49,2042-04-01,39352
50,2042-05-01,39772
51,2042-06-01,40028
52,2042-07-01,40471
53,2042-08-01,40988
54,2042-09-01,41255
55,2042-10-01,41515
56,2042-11-01,41673
57,2042-12-01,41915
58,2043-01-01,42172
59,2043-02-01,42395
60,2043-03-01,42553
61,2043-04-01,42647
62,2043-05-01,42596
63,2043-06-01,42781
64,2043-07-01,42701
65,2043-08-01,42546
66,2043-09-01,42485
67,2043-10-01,42675
68,2043-11-01,42820
69,2043-12-01,42746
70,2044-01-01,42655
71,2044-02-01,42544
72,2044-03-01,42292
73,2044-04-01,42063
74,2044-05-01,41985
75,2044-06-01,41947
76,2044-07-01,41905
77,2044-08-01,41850
78,2044-09-01,41672
79,2044-10-01,41709
80,2044-11-01,41712
81,2044-12-01,41861
82,2045-01-01,41897
83,2045-02-01,41904
84,2045-03-01,41796
85,2045-04-01,41443
86,2045-05-01,41304
87,2045-06-01,41149
88,2045-07-01,40873
89,2045-08-01,40467
90,2045-09-01,38500
91,2045-10-01,38599
92,2045-11-01,38997
93,2045-12-01,39112
94,2046-01-01,39832
95,2046-02-01,39251
96,2046-03-01,40193
97,2046-04-01,40909
98,2046-05-01,41349
99,2046-06-01,41733
100,2046-07-01,42153
101,2046-08-01,42643
102,2046-09-01,42909
103,2046-10-01,43094
104,2046-11-01,43397
105,2046-12-01,43379
106,2047-01-01,43539
107,2047-02-01,43563
108,2047-03-01,43606
109,2047-04-01,43492
110,2047-05-01,43638
111,2047-06-01,43808
112,2047-07-01,43743
113,2047-08-01,43959
114,2047-09-01,44201
115,2047-10-01,44415
116,2047-11-01,44487
117,2047-12-01,44579
118,2048-01-01,44682
119,2048-02-01,44537
120,2048-03-01,44681
121,2048-04-01,44370
122,2048-05-01,44795
123,2048-06-01,45033
124,2048-07-01,45160
125,2048-08-01,45176
126,2048-09-01,45295
127,2048-10-01,45251
128,2048-11-01,45194
129,2048-12-01,45029
130,2049-01-01,44671
131,2049-02-01,44500
132,2049-03-01,44238
133,2049-04-01,44230
134,2049-05-01,43982
135,2049-06-01,43739
136,2049-07-01,43529
137,2049-08-01,43622
138,2049-09-01,43784
139,2049-10-01,42950
140,2049-11-01,43245
141,2049-12-01,43517
142,2050-01-01,43528
143,2050-02-01,43298
144,2050-03-01,43952
145,2050-04-01,44376
146,2050-05-01,44718
147,2050-06-01,45084
148,2050-07-01,45454
149,2050-08-01,46188
150,2050-09-01,46442
151,2050-10-01,46712
152,2050-11-01,46778
153,2050-12-01,46855
154,2051-01-01,47288
155,2051-02-01,47577
156,2051-03-01,47871
157,2051-04-01,47856
158,2051-05-01,47953
159,2051-06-01,48068
160,2051-07-01,48062
161,2051-08-01,48009
162,2051-09-01,47955
163,2051-10-01,48009
164,2051-11-01,48148
165,2051-12-01,48309
166,2052-01-01,48298
167,2052-02-01,48522
168,2052-03-01,48504
169,2052-04-01,48616
170,2052-05-01,48645
171,2052-06-01,48286
172,2052-07-01,48144
173,2052-08-01,48923
174,2052-09-01,49319
175,2052-10-01,49598
176,2052-11-01,49816
177,2052-12-01,50164
178,2053-01-01,50145
179,2053-02-01,50339
180,2053-03-01,50475
181,2053-04-01,50432
182,2053-05-01,50491
183,2053-06-01,50522
184,2053-07-01,50536
185,2053-08-01,50487
186,2053-09-01,50365
187,2053-10-01,50242
188,2053-11-01,49907
189,2053-12-01,49702
190,2054-01-01,49468
191,2054-02-01,49382
192,2054-03-01,49158
193,2054-04-01,49178
194,2054-05-01,48965
195,2054-06-01,48896
196,2054-07-01,48835
197,2054-08-01,48825
198,2054-09-01,48882
199,2054-10-01,48944
200,2054-11-01,49178
201,2054-12-01,49331
202,2055-01-01,49497
203,2055-02-01,49644
204,2055-03-01,49963
205,2055-04-01,50247
206,2055-05-01,50512
207,2055-06-01,50790
208,2055-07-01,50985
209,2055-08-01,51111
210,2055-09-01,51262
211,2055-10-01,51431
212,2055-11-01,51592
213,2055-12-01,51805
214,2056-01-01,51975
215,2056-02-01,52167
216,2056-03-01,52295
217,2056-04-01,52375
218,2056-05-01,52506
219,2056-06-01,52584
220,2056-07-01,51954
221,2056-08-01,52630
222,2056-09-01,52601
223,2056-10-01,52781
224,2056-11-01,52822
225,2056-12-01,52930
226,2057-01-01,52888
227,2057-02-01,53097
228,2057-03-01,53157
229,2057-04-01,53238
230,2057-05-01,53149
231,2057-06-01,53066
232,2057-07-01,53123
233,2057-08-01,53126
234,2057-09-01,52932
235,2057-10-01,52765
236,2057-11-01,52559
237,2057-12-01,52385
238,2058-01-01,52077
239,2058-02-01,51576
240,2058-03-01,51300
241,2058-04-01,51027
242,2058-05-01,50913
243,2058-06-01,50912
244,2058-07-01,51037
245,2058-08-01,51231
246,2058-09-01,51506
247,2058-10-01,51486
248,2058-11-01,51944
249,2058-12-01,52088
250,2059-01-01,52480
251,2059-02-01,52687
252,2059-03-01,53016
253,2059-04-01,53320
254,2059-05-01,53549
255,2059-06-01,53679
256,2059-07-01,53803
257,2059-08-01,53334
258,2059-09-01,53429
259,2059-10-01,53359
260,2059-11-01,53635
261,2059-12-01,54175
262,2060-01-01,54274
263,2060-02-01,54513
264,2060-03-01,54458
265,2060-04-01,54812
266,2060-05-01,54473
267,2060-06-01,54347
268,2060-07-01,54304
269,2060-08-01,54271
270,2060-09-01,54228
271,2060-10-01,54144
272,2060-11-01,53962
273,2060-12-01,53744
274,2061-01-01,53683
275,2061-02-01,53556
276,2061-03-01,53662
277,2061-04-01,53626
278,2061-05-01,53785
279,2061-06-01,53977
280,2061-07-01,54123
281,2061-08-01,54298
282,2061-09-01,54388
283,2061-10-01,54522
284,2061-11-01,54743
285,2061-12-01,54871
286,2062-01-01,54891
287,2062-02-01,55187
288,2062-03-01,55276
289,2062-04-01,55602
290,2062-05-01,55627
291,2062-06-01,55644
292,2062-07-01,55746
293,2062-08-01,55838
294,2062-09-01,55977
295,2062-10-01,56041
296,2062-11-01,56056
297,2062-12-01,56028
298,2063-01-01,56116
299,2063-02-01,56230
300,2063-03-01,56322
301,2063-04-01,56580
302,2063-05-01,56616
303,2063-06-01,56658
304,2063-07-01,56794
305,2063-08-01,56910
306,2063-09-01,57077
307,2063-10-01,57284
308,2063-11-01,57255
309,2063-12-01,57360
310,2064-01-01,57487
311,2064-02-01,57751
312,2064-03-01,57898
313,2064-04-01,57922
314,2064-05-01,58089
315,2064-06-01,58221
316,2064-07-01,58413
317,2064-08-01,58619
318,2064-09-01,58903
319,2064-10-01,58794
320,2064-11-01,59217
321,2064-12-01,59421
322,2065-01-01,59583
323,2065-02-01,59800
324,2065-03-01,60003
325,2065-04-01,60259
326,2065-05-01,60492
327,2065-06-01,60690
328,2065-07-01,60963
329,2065-08-01,61228
330,2065-09-01,61490
331,2065-10-01,61718
332,2065-11-01,61997
333,2065-12-01,62321
334,2066-01-01,62528
335,2066-02-01,62796
336,2066-03-01,63192
337,2066-04-01,63436
338,2066-05-01,63711
339,2066-06-01,64110
340,2066-07-01,64301
341,2066-08-01,64507
342,2066-09-01,64644
343,2066-10-01,64854
344,2066-11-01,65019
345,2066-12-01,65200
346,2067-01-01,65407
347,2067-02-01,65428
348,2067-03-01,65530
349,2067-04-01,65467
350,2067-05-01,65619
351,2067-06-01,65750
352,2067-07-01,65887
353,2067-08-01,66142
354,2067-09-01,66164
355,2067-10-01,66225
356,2067-11-01,66703
357,2067-12-01,66900
358,2068-01-01,66805
359,2068-02-01,67215
360,2068-03-01,67295
361,2068-04-01,67555
362,2068-05-01,67653
363,2068-06-01,67904
364,2068-07-01,68125
365,2068-08-01,68328
366,2068-09-01,68487
367,2068-10-01,68720
368,2068-11-01,68985
369,2068-12-01,69246
370,1969-01-01,69438
371,1969-02-01,69700
372,1969-03-01,69905
373,1969-04-01,70072
374,1969-05-01,70328
375,1969-06-01,70636
376,1969-07-01,70729
377,1969-08-01,71006
378,1969-09-01,70917
379,1969-10-01,71120
380,1969-11-01,71087
381,1969-12-01,71240
382,1970-01-01,71176
383,1970-02-01,71304
384,1970-03-01,71452
385,1970-04-01,71348
386,1970-05-01,71123
387,1970-06-01,71029
388,1970-07-01,71053
389,1970-08-01,70933
390,1970-09-01,70948
391,1970-10-01,70519
392,1970-11-01,70409
393,1970-12-01,70790
394,1971-01-01,70866
395,1971-02-01,70806
396,1971-03-01,70859
397,1971-04-01,71037
398,1971-05-01,71247
399,1971-06-01,71253
400,1971-07-01,71315
401,1971-08-01,71370
402,1971-09-01,71617
403,1971-10-01,71642
404,1971-11-01,71846
405,1971-12-01,72108
406,1972-01-01,72445
407,1972-02-01,72652
408,1972-03-01,72945
409,1972-04-01,73163
410,1972-05-01,73467
411,1972-06-01,73760
412,1972-07-01,73708
413,1972-08-01,74138
414,1972-09-01,74263
415,1972-10-01,74673
416,1972-11-01,74967
417,1972-12-01,75270
418,1973-01-01,75621
419,1973-02-01,76017
420,1973-03-01,76285
421,1973-04-01,76455
422,1973-05-01,76646
423,1973-06-01,76887
424,1973-07-01,76911
425,1973-08-01,77166
426,1973-09-01,77276
427,1973-10-01,77606
428,1973-11-01,77912
429,1973-12-01,78035
430,1974-01-01,78104
431,1974-02-01,78254
432,1974-03-01,78296
433,1974-04-01,78382
434,1974-05-01,78547
435,1974-06-01,78602
436,1974-07-01,78635
437,1974-08-01,78619
438,1974-09-01,78611
439,1974-10-01,78629
440,1974-11-01,78261
441,1974-12-01,77657
442,1975-01-01,77297
443,1975-02-01,76919
444,1975-03-01,76649
445,1975-04-01,76461
446,1975-05-01,76623
447,1975-06-01,76520
448,1975-07-01,76769
449,1975-08-01,77155
450,1975-09-01,77230
451,1975-10-01,77535
452,1975-11-01,77680
453,1975-12-01,78018
454,1976-01-01,78506
455,1976-02-01,78817
456,1976-03-01,79049
457,1976-04-01,79292
458,1976-05-01,79311
459,1976-06-01,79376
460,1976-07-01,79547
461,1976-08-01,79704
462,1976-09-01,79892
463,1976-10-01,79905
464,1976-11-01,80237
465,1976-12-01,80448
466,1977-01-01,80692
467,1977-02-01,80988
468,1977-03-01,81391
469,1977-04-01,81729
470,1977-05-01,82089
471,1977-06-01,82488
472,1977-07-01,82836
473,1977-08-01,83074
474,1977-09-01,83532
475,1977-10-01,83794
476,1977-11-01,84173
477,1977-12-01,84408
478,1978-01-01,84595
479,1978-02-01,84948
480,1978-03-01,85461
481,1978-04-01,86163
482,1978-05-01,86509
483,1978-06-01,86951
484,1978-07-01,87205
485,1978-08-01,87481
486,1978-09-01,87618
487,1978-10-01,87954
488,1978-11-01,88391
489,1978-12-01,88673
490,1979-01-01,88810
491,1979-02-01,89054
492,1979-03-01,89480
493,1979-04-01,89418
494,1979-05-01,89791
495,1979-06-01,90109
496,1979-07-01,90215
497,1979-08-01,90297
498,1979-09-01,90325
499,1979-10-01,90482
500,1979-11-01,90576
501,1979-12-01,90673
502,1980-01-01,90802
503,1980-02-01,90882
504,1980-03-01,90994
505,1980-04-01,90850
506,1980-05-01,90419
507,1980-06-01,90099
508,1980-07-01,89837
509,1980-08-01,90097
510,1980-09-01,90210
511,1980-10-01,90491
512,1980-11-01,90748
513,1980-12-01,90943
514,1981-01-01,91037
515,1981-02-01,91105
516,1981-03-01,91210
517,1981-04-01,91283
518,1981-05-01,91293
519,1981-06-01,91490
520,1981-07-01,91602
521,1981-08-01,91566
522,1981-09-01,91479
523,1981-10-01,91380
524,1981-11-01,91171
525,1981-12-01,90893
526,1982-01-01,90567
527,1982-02-01,90562
528,1982-03-01,90432
529,1982-04-01,90152
530,1982-05-01,90107
531,1982-06-01,89864
532,1982-07-01,89522
533,1982-08-01,89364
534,1982-09-01,89183
535,1982-10-01,88906
536,1982-11-01,88783
537,1982-12-01,88769
538,1983-01-01,88993
539,1983-02-01,88918
540,1983-03-01,89090
541,1983-04-01,89366
542,1983-05-01,89643
543,1983-06-01,90022
544,1983-07-01,90440
545,1983-08-01,90132
546,1983-09-01,91247
547,1983-10-01,91518
548,1983-11-01,91871
549,1983-12-01,92227
550,1984-01-01,92673
551,1984-02-01,93154
552,1984-03-01,93429
553,1984-04-01,93792
554,1984-05-01,94100
555,1984-06-01,94479
556,1984-07-01,94792
557,1984-08-01,95034
558,1984-09-01,95344
559,1984-10-01,95630
560,1984-11-01,95979
561,1984-12-01,96107
562,1985-01-01,96373
563,1985-02-01,96497
564,1985-03-01,96843
565,1985-04-01,97039
566,1985-05-01,97313
567,1985-06-01,97459
568,1985-07-01,97649
569,1985-08-01,97842
570,1985-09-01,98045
571,1985-10-01,98233
572,1985-11-01,98442
573,1985-12-01,98609
574,1986-01-01,98734
575,1986-02-01,98841
576,1986-03-01,98935
577,1986-04-01,99122
578,1986-05-01,99249
579,1986-06-01,99155
580,1986-07-01,99473
581,1986-08-01,99587
582,1986-09-01,99934
583,1986-10-01,100120
584,1986-11-01,100306
585,1986-12-01,100511
586,1987-01-01,100683
587,1987-02-01,100915
588,1987-03-01,101164
589,1987-04-01,101502
590,1987-05-01,101728
591,1987-06-01,101900
592,1987-07-01,102247
593,1987-08-01,102418
594,1987-09-01,102646
595,1987-10-01,103138
596,1987-11-01,103370
597,1987-12-01,103664
598,1988-01-01,103758
599,1988-02-01,104211
600,1988-03-01,104487
601,1988-04-01,104732
602,1988-05-01,104961
603,1988-06-01,105324
604,1988-07-01,105546
605,1988-08-01,105670
606,1988-09-01,106009
607,1988-10-01,106277
608,1988-11-01,106616
609,1988-12-01,106906
610,1989-01-01,107168
611,1989-02-01,107426
612,1989-03-01,107619
613,1989-04-01,107792
614,1989-05-01,107910
615,1989-06-01,108026
616,1989-07-01,108066
617,1989-08-01,108115
618,1989-09-01,108365
619,1989-10-01,108476
620,1989-11-01,108753
621,1989-12-01,108849
622,1990-01-01,109184
623,1990-02-01,109433
624,1990-03-01,109647
625,1990-04-01,109687
626,1990-05-01,109838
627,1990-06-01,109862
628,1990-07-01,109830
629,1990-08-01,109614
630,1990-09-01,109525
631,1990-10-01,109366
632,1990-11-01,109216
633,1990-12-01,109160
634,1991-01-01,109040
635,1991-02-01,108735
636,1991-03-01,108577
637,1991-04-01,108366
638,1991-05-01,108241
639,1991-06-01,108338
640,1991-07-01,108298
641,1991-08-01,108308
642,1991-09-01,108340
643,1991-10-01,108357
644,1991-11-01,108299
645,1991-12-01,108325
646,1992-01-01,108377
647,1992-02-01,108314
648,1992-03-01,108368
649,1992-04-01,108527
650,1992-05-01,108653
651,1992-06-01,108721
652,1992-07-01,108792
653,1992-08-01,108930
654,1992-09-01,108966
655,1992-10-01,109148
656,1992-11-01,109284
657,1992-12-01,109496
658,1993-01-01,109805
659,1993-02-01,110047
660,1993-03-01,109998
661,1993-04-01,110306
662,1993-05-01,110572
663,1993-06-01,110754
664,1993-07-01,111055
665,1993-08-01,111211
666,1993-09-01,111451
667,1993-10-01,111737
668,1993-11-01,112000
669,1993-12-01,112312
670,1994-01-01,112583
671,1994-02-01,112783
672,1994-03-01,113248
673,1994-04-01,113598
674,1994-05-01,113931
675,1994-06-01,114246
676,1994-07-01,114619
677,1994-08-01,114901
678,1994-09-01,115254
679,1994-10-01,115467
680,1994-11-01,115887
681,1994-12-01,116164
682,1995-01-01,116488
683,1995-02-01,116692
684,1995-03-01,116913
685,1995-04-01,117075
686,1995-05-01,117060
687,1995-06-01,117294
688,1995-07-01,117390
689,1995-08-01,117643
690,1995-09-01,117887
691,1995-10-01,118040
692,1995-11-01,118189
693,1995-12-01,118322
694,1996-01-01,118303
695,1996-02-01,118735
696,1996-03-01,119002
697,1996-04-01,119165
698,1996-05-01,119487
699,1996-06-01,119774
700,1996-07-01,120023
701,1996-08-01,120202
702,1996-09-01,120427
703,1996-10-01,120677
704,1996-11-01,120976
705,1996-12-01,121147
706,1997-01-01,121381
707,1997-02-01,121684
708,1997-03-01,122000
709,1997-04-01,122292
710,1997-05-01,122552
711,1997-06-01,122818
712,1997-07-01,123124
713,1997-08-01,123093
714,1997-09-01,123605
715,1997-10-01,123945
716,1997-11-01,124251
717,1997-12-01,124554
718,1998-01-01,124830
719,1998-02-01,125026
720,1998-03-01,125177
721,1998-04-01,125457
722,1998-05-01,125861
723,1998-06-01,126080
724,1998-07-01,126209
725,1998-08-01,126551
726,1998-09-01,126774
727,1998-10-01,126973
728,1998-11-01,127255
729,1998-12-01,127601
730,1999-01-01,127727
731,1999-02-01,128137
732,1999-03-01,128244
733,1999-04-01,128620
734,1999-05-01,128831
735,1999-06-01,129091
736,1999-07-01,129417
737,1999-08-01,129577
738,1999-09-01,129791
739,1999-10-01,130191
740,1999-11-01,130484
741,1999-12-01,130780
742,2000-01-01,131010
743,2000-02-01,131140
744,2000-03-01,131608
745,2000-04-01,131895
746,2000-05-01,132122
747,2000-06-01,132075
748,2000-07-01,132251
749,2000-08-01,132241
750,2000-09-01,132377
751,2000-10-01,132363
752,2000-11-01,132589
753,2000-12-01,132731
754,2001-01-01,132705
755,2001-02-01,132777
756,2001-03-01,132752
757,2001-04-01,132471
758,2001-05-01,132433
759,2001-06-01,132302
760,2001-07-01,132190
761,2001-08-01,132033
762,2001-09-01,131793
763,2001-10-01,131468
764,2001-11-01,131175
765,2001-12-01,131005
766,2002-01-01,130867
767,2002-02-01,130733
768,2002-03-01,130713
769,2002-04-01,130634
770,2002-05-01,130627
771,2002-06-01,130684
772,2002-07-01,130599
773,2002-08-01,130585
774,2002-09-01,130526
775,2002-10-01,130652
776,2002-11-01,130662
777,2002-12-01,130505
778,2003-01-01,130597
779,2003-02-01,130447
780,2003-03-01,130238
781,2003-04-01,130194
782,2003-05-01,130186
783,2003-06-01,130195
784,2003-07-01,130219
785,2003-08-01,130177
786,2003-09-01,130281
787,2003-10-01,130479
788,2003-11-01,130496
789,2003-12-01,130618
790,2004-01-01,130780
791,2004-02-01,130826
792,2004-03-01,131158
793,2004-04-01,131407
794,2004-05-01,131715
795,2004-06-01,131791
796,2004-07-01,131835
797,2004-08-01,131956
798,2004-09-01,132120
799,2004-10-01,132466
800,2004-11-01,132530
801,2004-12-01,132660
802,2005-01-01,132794
803,2005-02-01,133033
804,2005-03-01,133169
805,2005-04-01,133534
806,2005-05-01,133708
807,2005-06-01,133955
808,2005-07-01,134331
809,2005-08-01,134525
810,2005-09-01,134593
811,2005-10-01,134678
812,2005-11-01,135015
813,2005-12-01,135174
814,2006-01-01,135452
815,2006-02-01,135768
816,2006-03-01,136049
817,2006-04-01,136232
818,2006-05-01,136255
819,2006-06-01,136337
820,2006-07-01,136544
821,2006-08-01,136725
822,2006-09-01,136883
823,2006-10-01,136887
824,2006-11-01,137095
825,2006-12-01,137266
826,2007-01-01,137506
827,2007-02-01,137596
828,2007-03-01,137785
829,2007-04-01,137864
830,2007-05-01,138007
831,2007-06-01,138085
832,2007-07-01,138052
833,2007-08-01,138028
834,2007-09-01,138116
835,2007-10-01,138201
836,2007-11-01,138316
837,2007-12-01,138413
838,2008-01-01,138432
839,2008-02-01,138346
840,2008-03-01,138268
841,2008-04-01,138058
842,2008-05-01,137873
843,2008-06-01,137708
844,2008-07-01,137499
845,2008-08-01,137233
846,2008-09-01,136781
847,2008-10-01,136308
848,2008-11-01,135539
849,2008-12-01,134844
850,2009-01-01,134053
851,2009-02-01,133350
852,2009-03-01,132527
853,2009-04-01,131841
854,2009-05-01,131490
855,2009-06-01,131020
856,2009-07-01,130691
857,2009-08-01,130479
858,2009-09-01,130260
859,2009-10-01,130060
860,2009-11-01,130053
861,2009-12-01,129774
862,2010-01-01,129802
863,2010-02-01,129733
864,2010-03-01,129896
865,2010-04-01,130139
866,2010-05-01,130661
867,2010-06-01,130528
868,2010-07-01,130458
869,2010-08-01,130424
870,2010-09-01,130372
871,2010-10-01,130629
872,2010-11-01,130752
873,2010-12-01,130840
874,2011-01-01,130882
875,2011-02-01,131070
876,2011-03-01,131295
877,2011-04-01,131641
878,2011-05-01,131714
879,2011-06-01,131949
880,2011-07-01,132019
881,2011-08-01,132126
882,2011-09-01,132372
883,2011-10-01,132574
884,2011-11-01,132720
885,2011-12-01,132927
886,2012-01-01,133265
887,2012-02-01,133522
888,2012-03-01,133761
889,2012-04-01,133836
890,2012-05-01,133951
891,2012-06-01,134038
892,2012-07-01,134181
893,2012-08-01,134371
894,2012-09-01,134552
895,2012-10-01,134684
896,2012-11-01,134833
897,2012-12-01,135076
898,2013-01-01,135266
899,2013-02-01,135577
900,2013-03-01,135712
901,2013-04-01,135904
902,2013-05-01,136122
903,2013-06-01,136268
904,2013-07-01,136408
905,2013-08-01,136677
906,2013-09-01,136862
907,2013-10-01,137051
908,2013-11-01,137342
909,2013-12-01,137387
910,2014-01-01,137574
911,2014-02-01,137742
912,2014-03-01,138014
913,2014-04-01,138324
914,2014-05-01,138537
915,2014-06-01,138843
916,2014-07-01,139075
917,2014-08-01,139293
918,2014-09-01,139579
919,2014-10-01,139779
920,2014-11-01,140110
921,2014-12-01,140402
922,2015-01-01,140623
923,2015-02-01,140888
924,2015-03-01,140972
925,2015-04-01,141223
926,2015-05-01,141496
927,2015-06-01,141724
928,2015-07-01,142001
929,2015-08-01,142151
930,2015-09-01,142300
931,2015-10-01,142595
932,2015-11-01,142875
933,2015-12-01,143146
934,2016-01-01,143314
935,2016-02-01,143547
936,2016-03-01,143733
937,2016-04-01,143877
938,2016-05-01,143901
939,2016-06-01,144172
940,2016-07-01,144424
941,2016-08-01,144600
942,2016-09-01,144791
943,2016-10-01,144952
